"ID","Year","Month","Status","Country","Number","Title","TitleKR","Inventor"
"A9","2025","Aug","출원","US","19/290,373","Method of Estimating Dynamic Coefficient of Electric Vehicle and Predicting Energy Consumption by Utilizing Speed Log Data and Physics-Informed Neural Network","","Jongseong Brad Choi"
"A8","2025","Nov","등록","KR","10-2025-1068454","Computer Vision Technique to Extract Structural Information from Citizen Science Data: Automated Lifecycle Infrastructure Monitoring Application","","Jongseong Brad Choi"
"A7","2025","Feb","출원","KR","10-2025-0017752","Speed Log Data and Physical Knowledge Neural Network-Based Electric Vehicle Dynamic Coefficient Estimation and Energy Consumption Prediction Method","속도 로그 데이터 및 물리 지식 신경망을 활용한 전기차 동역학 계수 추정 및 에너지 소비 예측 방법","Jongseong Brad Choi"
"A6","2025","Feb","출원","KR","10-2025-0017753","Gaussian Splatting-Based Lidar-Rgb Multi-Sensor and Rendering System for Ultra-High-Resolution Facility Scanning and Modeling","초고해상도 시설물 스캐닝 및 모델링을 위한 가우시안 스플래팅 적용 라이다-RGB 다중센서 및 렌더링장치","Jongseong Brad Choi"
"A5","2025","Feb","출원","KR","10-2021-0017754","A Mixed Reality Device Visualizing the Lidar Scanning Alignment Process in the Real-World Environment Through an Mr Headset","","Jongseong Brad Choi"
"A4","2025","Apr","출원","","10-2025-0046922","3d Gaussian Splatting Digital Twin Platform","3D 가우시안 스플래팅 디지털 트윈 플랫폼","Jongseong Brad Choi"
"A3","2025","Apr","출원","KR","10-2025-0046923","Digital Twin Generation System for Vision-Based Structural Health Monitoring","시각 데이터 기반 구조 건전성 모니터링을 위한 디지털 트윈 생성 시스템","Jongseong Brad Choi"
"A2","2025","Apr","출원","KR","10-2025-0058452","Log Data-Based Electric Vehicle Energy Consumption Analysis and Path Exploration System","로그 데이터 기반 전기차 에너지 소비 분석 및 경로 탐색 시스템","Jongseong Brad Choi"
"A1","2025","Apr","출원","KR","10-2025-0058453","Digital Twin-Based Construction Site Monitoring System Using Mobile App Performing Local Update on Mapping Api","지도 API 로컬 업데이트를 수행하는 모바일 앱을 이용한 디지털 트윈 기반 건설 현장 모니터링 시스템","Jongseong Brad Choi"
